scope,file,url,sampleGroup,check,status,severity,message,expected,actual
frontmatter,migration/output/content/posts/a-beginners-guide-to-webdav-in-sfcc.md,/a-beginners-guide-to-webdav-in-sfcc/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,91
frontmatter,migration/output/content/posts/a-dev-guide-to-combating-fraud-on-sfcc.md,/a-dev-guide-to-combating-fraud-on-sfcc/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,108
frontmatter,migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,/a-look-at-the-23-9-commerce-cloud-release/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,72
frontmatter,migration/output/content/posts/a-survival-guide-to-sfcc-platform-limits.md,/a-survival-guide-to-sfcc-platform-limits/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,80
frontmatter,migration/output/content/posts/ai-as-an-architect-and-content-creator.md,/ai-as-an-architect-and-content-creator/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,84
frontmatter,migration/output/content/posts/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will.md,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,98
frontmatter,migration/output/content/posts/an-overview-of-sfcc-global-functions.md,/an-overview-of-sfcc-global-functions/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,89
frontmatter,migration/output/content/pages/archive.md,/archive/,,description_length,warn,medium,description length is outside the 120-155 character target range.,120-155 characters,7
frontmatter,migration/output/content/posts/caching-rest-apis-in-sfcc.md,/caching-rest-apis-in-sfcc/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,61
frontmatter,migration/output/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023.md,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,70
frontmatter,migration/output/content/pages/connecting-the-clouds-wedding-or-funeral.md,/connecting-the-clouds-wedding-or-funeral/,,description_length,warn,medium,description length is outside the 120-155 character target range.,120-155 characters,41
frontmatter,migration/output/content/posts/custom-preferences-in-sfcc.md,/custom-preferences-in-sfcc/,,title_length,warn,medium,title exceeds the recommended 60-character limit.,<= 60 characters,70
